Realm Name	Export Time	PMktPrice Date	Reserved	Item ID	Item Name	AH MarketPrice Coppers	AH Quantity	AH MarketPrice	AH MinimumPrice	14-day Median Market Price	Median Market Price StdDev	14-day Todays PMktPrice	PMktPrice StdDev	Daily Price Change	Avg Daily Posted	Avg Estimated Daily Sold	Estimated Demand
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	3197	Stonecutter Claymore	1240320	1	124.032	124.032	223.16	141.44	16.73	102.65	-0.13	2.21	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	3198	Battering Hammer	0	0	0	0	249	137.46	60.3	96.96	-0.0954	0.86	0.07	0.0814
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	3199	Battle Slayer	542299	1	54.2299	54.2299	45	522.85	12	238.23	-0.1882	1.71	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	3201	Barbarian War Axe	755870	2	75.587	75.587	86.17	38.08	23.17	20.8	-0.091	2.86	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	3202	Forest Leather Bracers	2034648	3	203.4648	203.4648	49.88	65.61	160.06	38.82	0.1686	6.71	0.07	0.0104
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	3203	Dense Triangle Mace	0	0	0	0	672.29	0	672.29	0	0	0.21	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	3204	Deepwood Bracers	722919632	1	72291.9632	72291.9632	65523.45	2955	71047.3	1239.59	0.0098	1.07	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	3205	Inscribed Leather Bracers	3799999	3	379.9999	379.9999	512.11	183.73	628.88	101.13	0.0736	3.29	0.21	0.0638
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	3206	Cavalier Two-Hander	2500000	2	250	250	92.14	71.79	160.86	58.25	0.1377	4.14	0.14	0.0338
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	3207	Hunting Bracers	8824359	1	882.4359	882.4359	541.65	143.87	755.94	50.27	0.1871	0.71	0.07	0.0986
